wallet_id,label,attribution,is_seed
illicit_1bj9rm7pyx,illicit,AURORA_BRIDGE_HACK_SIM,1
illicit_dw2zcfzw0l,illicit,AURORA_BRIDGE_HACK_SIM,1
illicit_dalmjegqto,illicit,AURORA_BRIDGE_HACK_SIM,1
illicit_amdvlnknd6,illicit,AURORA_BRIDGE_HACK_SIM,1
illicit_69ugnekrcp,illicit,AURORA_BRIDGE_HACK_SIM,1
illicit_prcjiwvhdk,illicit,AURORA_BRIDGE_HACK_SIM,1
illicit_8lw2lm349e,illicit,AURORA_BRIDGE_HACK_SIM,0
illicit_l8hl88kzru,illicit,AURORA_BRIDGE_HACK_SIM,0
illicit_in3oeuvtyt,illicit,AURORA_BRIDGE_HACK_SIM,0
illicit_8qzpky32or,illicit,AURORA_BRIDGE_HACK_SIM,0
illicit_wixz2c9ros,illicit,AURORA_BRIDGE_HACK_SIM,0
illicit_7yt2m6twd1,illicit,AURORA_BRIDGE_HACK_SIM,0
mixer_zh13cd5glq,mixer,,0
mixer_j5sxvwvm4w,mixer,,0
mixer_3zkwdeekgy,mixer,,0
mixer_spengwyx9t,mixer,,0
exchange_xmxb9yo18p,exchange,,0
exchange_ajssuuqo1v,exchange,,0
exchange_smado8e7fl,exchange,,0
exchange_qhrrpzlk3e,exchange,,0
exchange_4xyf9igfu8,exchange,,0
exchange_iogxpbwhvn,exchange,,0
