source_wallet_id,dest_wallet_id,timestamp,amount,token-type
w_qjg02u1g46,exchange_xmxb9yo18p,2025-11-30T11:06:49Z,1086.98,USDC
w_tzk3ny9v20,mixer_spengwyx9t,2025-11-20T10:34:22Z,3436.66,DAI
mixer_zh13cd5glq,w_9xqym52xg8,2025-12-27T17:40:59Z,1488.56,DAI
illicit_l8hl88kzru,exchange_xmxb9yo18p,2026-01-07T22:34:01Z,2954.57,USDT
exchange_qhrrpzlk3e,w_yz7srcbplj,2025-12-29T14:19:39Z,1220.31,USDT
w_rtj5pht0hl,exchange_smado8e7fl,2026-01-01T14:28:35Z,1443.05,USDT
exchange_ajssuuqo1v,w_d5eqy08p0f,2025-12-04T04:48:07Z,422.69,USDT
mixer_spengwyx9t,w_h75lxo6qji,2025-11-08T11:07:41Z,5573.98,DAI
exchange_ajssuuqo1v,w_ywd14ve92m,2026-01-22T08:09:48Z,3.52516,ETH
mixer_spengwyx9t,w_r2ykccprhv,2025-12-20T17:58:53Z,0.898986,ETH
w_q46nouhfj7,exchange_ajssuuqo1v,2026-01-21T10:43:48Z,3791.17,USDC
w_hcbn9wszv8,exchange_smado8e7fl,2025-12-11T17:17:12Z,4131.2585034,DAI
w_pki7p5tb94,mixer_spengwyx9t,2026-01-03T12:51:11Z,1471.39,USDC
w_x6ta7ypp5z,mixer_spengwyx9t,2025-12-14T03:32:25Z,4407.99,USDC
illicit_dw2zcfzw0l,w_rht7zewviy,2026-01-31T09:50:02Z,597.65,USDC
mixer_spengwyx9t,w_txcb48y1o4,2025-12-08T04:53:40Z,383.45,USDC
w_6hid25owf7,exchange_ajssuuqo1v,2026-01-28T13:38:51Z,11074.68,USDT
mixer_j5sxvwvm4w,w_pnsm43d8w3,2025-12-06T15:05:33Z,245.89,USDT
w_azytjxepq8,mixer_zh13cd5glq,2025-11-04T14:04:18Z,0.244842,ETH
illicit_8qzpky32or,exchange_qhrrpzlk3e,2025-11-17T01:40:21Z,3727.94,USDT
exchange_qhrrpzlk3e,w_zpeal2w37d,2026-01-02T04:17:31Z,0.140526,WBTC
exchange_xmxb9yo18p,w_7ur23gdppq,2025-12-27T04:04:30Z,338.41,DAI
exchange_smado8e7fl,w_jeget1ghr0,2026-01-26T05:56:23Z,0.077645,ETH
exchange_qhrrpzlk3e,w_6t4ufel624,2026-01-23T14:51:50Z,0.737148,ETH
mixer_zh13cd5glq,w_5jsg65kxvf,2025-12-02T16:38:20Z,1675.52,USDC
mixer_j5sxvwvm4w,w_dw2pcn9t84,2025-11-04T02:15:26Z,550.87,USDC
exchange_smado8e7fl,w_3qsqcq30o3,2025-11-16T20:52:06Z,892.96,USDT
illicit_prcjiwvhdk,illicit_wixz2c9ros,2026-01-28T02:31:31Z,3.671918,ETH
w_8ut0cvs4f8,mixer_3zkwdeekgy,2025-11-19T22:03:44Z,1706.82,USDC
w_x4w6xlpu0d,mixer_3zkwdeekgy,2026-01-01T14:11:25Z,2065.81,USDT
w_45bm1enf31,mixer_zh13cd5glq,2025-12-10T02:42:08Z,1922.14,DAI
exchange_qhrrpzlk3e,w_hqmabsi9nb,2025-12-24T21:53:40Z,519.87,USDC
w_izasnwywrr,exchange_xmxb9yo18p,2025-11-12T05:56:19Z,1639.95,USDT
w_vifttd96qe,exchange_qhrrpzlk3e,2025-12-18T20:52:17Z,15.939224,ETH
exploit_rflqbmae38,illicit_dalmjegqto,2025-11-03T19:31:22Z,3900.96,USDC
w_wd7oi0pesg,w_5psq0oxfq8,2025-11-05T21:55:01Z,0.246102,ETH
illicit_dw2zcfzw0l,exchange_iogxpbwhvn,2025-12-08T15:22:53Z,820.8,DAI
w_55nf4zw9xa,exchange_qhrrpzlk3e,2025-11-25T11:21:28Z,1767.72,USDT
w_lz049enulq,exchange_4xyf9igfu8,2026-01-11T18:36:00Z,767.85,USDT
exchange_qhrrpzlk3e,w_9xuy41iblj,2025-11-19T18:47:56Z,0.16631,ETH
w_zggm0j36tc,mixer_3zkwdeekgy,2025-12-03T19:42:45Z,0.54438461,WBTC
w_qlgzui1b0z,mixer_j5sxvwvm4w,2025-12-25T20:06:53Z,0.696414,ETH
exchange_qhrrpzlk3e,w_xux1oxrwk8,2025-12-09T10:08:25Z,0.435307,ETH
w_ww4fyb8dal,exchange_qhrrpzlk3e,2025-12-20T23:45:55Z,0.597305,ETH
w_zlma5uofwb,mixer_spengwyx9t,2026-01-23T03:52:55Z,0.550228,ETH
w_myx444nlz1,mixer_zh13cd5glq,2025-11-04T17:00:25Z,3085.53,USDC
w_uhxid4n1u3,mixer_j5sxvwvm4w,2026-01-17T15:35:02Z,1177.33,USDT
mixer_spengwyx9t,w_ntcagrp2u4,2025-11-09T19:30:39Z,6087.48,USDT
w_uk9e1v2isq,exchange_smado8e7fl,2026-01-22T00:55:03Z,1288.45,USDC
exchange_smado8e7fl,w_6hid25owf7,2026-01-06T09:06:03Z,5377.98,DAI
w_atatj9a3y3,mixer_spengwyx9t,2025-11-23T23:13:54Z,3298.88,USDC
w_7s55j2o7s3,exchange_qhrrpzlk3e,2025-12-21T01:11:38Z,1144.99,USDT
illicit_prcjiwvhdk,illicit_in3oeuvtyt,2026-01-04T08:04:55Z,7547.72,USDT
w_d44k1j6fp8,mixer_j5sxvwvm4w,2025-12-01T19:59:10Z,1.030651,ETH
exchange_smado8e7fl,w_xxva2ieuc1,2026-01-13T11:00:42Z,1258.11,USDT
exchange_qhrrpzlk3e,w_yz7srcbplj,2026-01-06T04:54:10Z,1489.96,USDT
w_x63cfl0uke,exchange_smado8e7fl,2025-11-09T05:23:07Z,1.20649,ETH
mixer_3zkwdeekgy,w_hzlm72jeyn,2026-01-06T20:55:04Z,434.72,USDC
exchange_xmxb9yo18p,w_l1cq99chj7,2025-12-16T14:37:05Z,0.661471,ETH
mixer_3zkwdeekgy,w_0y9dom5igq,2026-01-02T09:43:35Z,707.37,USDT
w_twdl9zs13c,mixer_3zkwdeekgy,2026-01-03T10:38:45Z,699.63,USDT
mixer_3zkwdeekgy,w_tz0yncxll4,2026-01-09T04:19:08Z,1033.41,DAI
w_tqvdz4x1zh,exchange_smado8e7fl,2026-01-26T02:15:02Z,551.37,USDC
illicit_dw2zcfzw0l,exchange_xmxb9yo18p,2025-12-03T07:05:35Z,829.68,USDT
w_hcbn9wszv8,mixer_3zkwdeekgy,2025-12-25T20:38:37Z,4675.6,DAI
mixer_zh13cd5glq,w_yar821uzvg,2025-12-05T07:26:59Z,2821.71,USDT
w_r6k2vmwwyz,exchange_4xyf9igfu8,2025-11-30T23:17:52Z,0.991295,ETH
mixer_j5sxvwvm4w,w_hhpbmyofqe,2025-11-05T23:10:58Z,1797.21,DAI
w_5py6b2knft,exchange_4xyf9igfu8,2025-12-04T23:56:11Z,0.417281,ETH
illicit_69ugnekrcp,illicit_wixz2c9ros,2025-12-09T17:11:31Z,1911.78,USDC
exchange_xmxb9yo18p,w_y8fv2bc2nn,2026-01-17T14:22:08Z,0.657824,ETH
illicit_dw2zcfzw0l,mixer_zh13cd5glq,2025-11-10T21:17:34Z,1870.35,USDT
exchange_ajssuuqo1v,w_m25len606n,2025-11-13T18:32:49Z,0.335679,ETH
mixer_3zkwdeekgy,w_i15cqzcuct,2025-12-30T15:31:04Z,3129.19,USDC
w_v5g10ur5l8,mixer_3zkwdeekgy,2026-01-20T02:46:34Z,1.344719,ETH
w_gyggsnpuev,mixer_3zkwdeekgy,2025-11-17T12:43:24Z,3.009156,ETH
w_nyxtxmgtt0,mixer_3zkwdeekgy,2025-11-23T04:51:58Z,442.64,USDT
mixer_j5sxvwvm4w,w_jeget1ghr0,2025-11-06T22:43:32Z,415.68,USDC
w_9k9xjuy0bv,mixer_spengwyx9t,2025-12-06T06:31:04Z,1728.13,USDC
exchange_smado8e7fl,w_ss9toqw9ja,2025-11-25T23:30:26Z,544.66,USDC
exchange_smado8e7fl,w_qimqodpxnf,2025-12-10T00:00:22Z,375.23,DAI
illicit_dw2zcfzw0l,illicit_8lw2lm349e,2025-12-03T13:30:10Z,14518.82,DAI
exchange_smado8e7fl,w_odro8bnp84,2026-01-03T06:37:28Z,7457.49,USDT
exchange_xmxb9yo18p,w_1t2tala753,2025-11-24T07:14:06Z,173.65,USDC
w_jgxaa2ilgb,mixer_j5sxvwvm4w,2025-12-22T01:22:25Z,2273.46,USDT
w_pkyrybovak,exchange_ajssuuqo1v,2025-12-02T04:40:32Z,1999.58,USDC
w_hsahxthv3a,exchange_ajssuuqo1v,2026-01-18T08:59:46Z,2.241315,ETH
w_6ddfgs3jon,exchange_smado8e7fl,2025-11-16T11:52:15Z,2.74725,ETH
illicit_prcjiwvhdk,illicit_8lw2lm349e,2025-11-15T05:43:53Z,3061.93,USDC
illicit_prcjiwvhdk,exchange_xmxb9yo18p,2025-12-22T04:04:44Z,308.98,DAI
exchange_qhrrpzlk3e,w_nyxtxmgtt0,2025-12-08T16:32:30Z,8458.91,USDT
w_uww5wfcpkj,exchange_4xyf9igfu8,2026-01-21T05:42:34Z,1087.23,DAI
w_hl1n13jcat,exchange_smado8e7fl,2025-12-26T01:32:02Z,213.18,USDT
illicit_prcjiwvhdk,mixer_zh13cd5glq,2025-11-28T03:27:21Z,591.91,USDC
illicit_dalmjegqto,mixer_j5sxvwvm4w,2026-01-17T21:49:25Z,0.884837,ETH
exchange_ajssuuqo1v,w_hzlm72jeyn,2026-01-16T19:51:39Z,989.32,DAI
illicit_7yt2m6twd1,mixer_j5sxvwvm4w,2025-12-18T04:53:36Z,3310.81,USDT
exchange_xmxb9yo18p,w_qlgzui1b0z,2025-12-08T20:04:41Z,14673.93,USDT
w_tz0yncxll4,exchange_xmxb9yo18p,2026-01-25T15:58:30Z,1039.64,USDC
exchange_ajssuuqo1v,w_ywd14ve92m,2026-01-21T22:58:52Z,1140.7,USDT
w_vslwf90km3,exchange_xmxb9yo18p,2026-01-02T10:45:01Z,0.05553,WBTC
mixer_zh13cd5glq,w_0982n2atqy,2025-11-25T13:44:47Z,2888.61,USDC
w_jidknwi5fl,exchange_xmxb9yo18p,2026-01-03T18:30:24Z,1380.22,USDT
mixer_spengwyx9t,exchange_ajssuuqo1v,2026-01-29T02:26:56Z,0.057078,WBTC
exploit_rflqbmae38,illicit_1bj9rm7pyx,2025-11-06T22:30:36Z,1193.64,USDC
exchange_xmxb9yo18p,w_9xqym52xg8,2026-01-15T14:06:38Z,2.55025,ETH
exploit_rflqbmae38,illicit_dw2zcfzw0l,2025-11-04T15:10:01Z,0.49321776,WBTC
illicit_in3oeuvtyt,exchange_xmxb9yo18p,2025-11-10T04:30:36Z,1224.17,DAI
w_7ur23gdppq,mixer_zh13cd5glq,2025-12-03T07:49:11Z,428.56,USDC
w_5935a0l725,exchange_qhrrpzlk3e,2026-01-09T00:29:38Z,0.740118,ETH
w_kbp2qd6vas,exchange_qhrrpzlk3e,2025-12-13T22:35:39Z,2033.72,USDT
mixer_zh13cd5glq,w_25sq8croyr,2025-12-12T18:09:46Z,0.04719822,WBTC
exchange_xmxb9yo18p,w_ss9toqw9ja,2025-12-12T14:44:22Z,658.27,USDC
w_fwyjxrpj1e,exchange_smado8e7fl,2026-01-03T02:00:35Z,1067.78,USDT
w_fm8zov7ln2,mixer_3zkwdeekgy,2025-12-24T21:38:43Z,291.86,USDT
w_uhxid4n1u3,mixer_j5sxvwvm4w,2026-01-05T09:04:49Z,1.052982,ETH
mixer_spengwyx9t,w_suflsehuds,2025-11-17T02:37:36Z,659.21,USDT
exploit_rflqbmae38,illicit_dalmjegqto,2025-11-06T22:14:02Z,6.006211,ETH
mixer_j5sxvwvm4w,w_4lmct64z7w,2025-11-13T07:55:44Z,654.86,USDC
illicit_dw2zcfzw0l,mixer_zh13cd5glq,2025-12-07T11:22:17Z,1130.16,DAI
w_874frhocn9,exchange_4xyf9igfu8,2025-12-27T23:15:23Z,177.27,USDC
w_0s0r2sds8b,exchange_xmxb9yo18p,2026-01-04T01:37:46Z,9225.54,USDT
w_hsahxthv3a,exchange_4xyf9igfu8,2025-11-28T23:23:20Z,2242.58,USDC
mixer_3zkwdeekgy,w_os6zle6kwh,2025-12-05T02:13:31Z,0.17641313,WBTC
exchange_qhrrpzlk3e,w_ckjlteiyzc,2026-01-05T06:47:00Z,2720.95,USDC
w_odro8bnp84,exchange_smado8e7fl,2026-01-07T19:12:37Z,2686.32,USDT
w_r6k2vmwwyz,mixer_j5sxvwvm4w,2026-01-21T04:29:37Z,0.217552,ETH
exchange_ajssuuqo1v,w_dyt9moge4q,2025-12-25T16:57:21Z,925.64,USDC
illicit_prcjiwvhdk,mixer_zh13cd5glq,2026-01-12T10:33:32Z,2.39213,ETH
mixer_spengwyx9t,w_t1ntmjsrd9,2025-12-10T08:39:03Z,494.85,USDT
w_x4w6xlpu0d,mixer_spengwyx9t,2026-01-15T12:13:35Z,0.567719,ETH
w_30t9nt3w5u,mixer_3zkwdeekgy,2026-01-14T14:48:01Z,0.973038,ETH
mixer_spengwyx9t,w_r97y2lofn1,2026-01-08T13:24:24Z,0.03502946,WBTC
w_tlcxlvpymb,exchange_smado8e7fl,2025-11-22T07:09:53Z,647.8,DAI
w_kbp2qd6vas,mixer_j5sxvwvm4w,2026-01-28T23:39:30Z,0.243525,ETH
exchange_xmxb9yo18p,w_y8fv2bc2nn,2025-12-04T08:44:48Z,2835.7,USDT
w_3zmf8mdd4v,exchange_4xyf9igfu8,2025-12-16T15:30:33Z,2087.97,DAI
w_tzk3ny9v20,exchange_xmxb9yo18p,2025-12-10T19:42:36Z,0.957279,ETH
exchange_ajssuuqo1v,w_gh8riec4d1,2025-11-15T10:39:19Z,0.117155,ETH
illicit_amdvlnknd6,w_3rzsj49itn,2025-12-18T11:29:58Z,1086.46,USDC
w_tl3q4n89qk,mixer_zh13cd5glq,2025-12-24T13:20:30Z,2439.97,DAI
exchange_smado8e7fl,w_es6m033ifh,2025-12-06T16:33:14Z,516.01,USDT
w_pkyrybovak,mixer_zh13cd5glq,2025-11-19T20:49:02Z,5990.64,USDC
w_31yihair4c,mixer_spengwyx9t,2025-12-05T12:59:13Z,479.04,USDC
w_dbvzb0oih5,exchange_smado8e7fl,2025-12-25T12:28:23Z,553.81,USDC
w_hcbn9wszv8,w_a78e9rivh6,2025-11-22T02:00:42Z,3.730182,ETH
mixer_spengwyx9t,w_os6zle6kwh,2025-12-29T05:34:43Z,474.57,USDC
mixer_j5sxvwvm4w,exchange_qhrrpzlk3e,2025-12-25T13:37:32Z,0.767316,ETH
w_3nx39rbsv5,exchange_xmxb9yo18p,2026-01-26T02:36:37Z,5007.5,USDT
exchange_qhrrpzlk3e,w_o75rh8lx6d,2026-01-28T15:52:39Z,697.1,USDT
w_csk30lvylk,exchange_smado8e7fl,2026-01-25T18:32:40Z,2754.19,USDC
w_25sq8croyr,mixer_3zkwdeekgy,2025-11-10T21:29:59Z,2832.71,USDT
exchange_smado8e7fl,w_zbikcidkwn,2026-01-04T02:26:10Z,1264.82,USDT
w_azytjxepq8,exchange_xmxb9yo18p,2025-12-20T13:13:32Z,0.177374,ETH
mixer_spengwyx9t,w_s1k9ye9o2m,2025-12-17T05:59:48Z,1.239647,ETH
w_zklookep7y,mixer_3zkwdeekgy,2026-01-18T20:14:33Z,1812.5,USDC
illicit_dalmjegqto,illicit_wixz2c9ros,2025-12-30T21:58:33Z,2100.91,DAI
w_v1xg1r11q7,mixer_3zkwdeekgy,2025-12-10T18:49:57Z,1781.17,USDT
illicit_amdvlnknd6,mixer_3zkwdeekgy,2025-11-20T14:46:11Z,1161.24,USDT
illicit_1bj9rm7pyx,mixer_j5sxvwvm4w,2025-12-20T13:10:19Z,1105.81,USDC
w_p501nouhtc,exchange_xmxb9yo18p,2025-11-06T18:10:15Z,613.74,DAI
w_ss9toqw9ja,mixer_zh13cd5glq,2025-11-06T07:27:46Z,5598.41,USDT
w_31yihair4c,mixer_spengwyx9t,2025-12-07T04:46:06Z,1404.26,USDC
w_ntcagrp2u4,exchange_xmxb9yo18p,2025-12-12T14:16:10Z,3306.22,USDT
exchange_xmxb9yo18p,w_0lvsnujza7,2025-11-30T04:55:03Z,655.6,USDT
illicit_amdvlnknd6,mixer_j5sxvwvm4w,2025-12-15T04:40:10Z,1331.36,USDC
mixer_j5sxvwvm4w,w_os6zle6kwh,2025-11-06T01:55:52Z,0.15774609,WBTC
w_0ubmc97c7b,mixer_spengwyx9t,2025-11-03T11:56:11Z,4.614929,ETH
illicit_1bj9rm7pyx,mixer_j5sxvwvm4w,2025-11-16T10:53:44Z,3131.37,USDC
exploit_rflqbmae38,illicit_69ugnekrcp,2025-11-06T04:27:23Z,2054.94,DAI
